iter	RMSE
0	74806.41267
1	70336.03702
2	66152.66873
3	61977.97107
4	58446.99552
5	55189.58403
6	52179.77339
7	49509.10277
8	46967.68638
9	44501.35164
10	42363.79427
11	40321.35419
12	38632.10508
13	37023.71165
14	35536.54449
15	34183.88165
16	33055.77345
17	31825.8839
18	30840.24476
19	29863.5333
20	28935.0352
21	28135.33924
22	27393.98145
23	26707.64369
24	26105.21335
25	25518.164
26	24950.27179
27	24471.4136
28	23954.36297
29	23533.05891
30	23129.65618
31	22731.38397
32	22356.45942
33	22037.84916
34	21714.07303
35	21387.80051
36	21043.83502
37	20793.54337
38	20575.85712
39	20327.51622
40	20147.67357
41	19992.20941
42	19782.10295
43	19595.07258
44	19411.59077
45	19274.18551
46	19138.86038
47	19004.82932
48	18852.3784
49	18718.53109
50	18585.00808
51	18433.57966
52	18269.09348
53	18164.94578
54	18083.4789
55	17945.37584
56	17836.52659
57	17712.95129
58	17572.97073
59	17481.30215
60	17421.43522
61	17317.75836
62	17199.04444
63	17099.31664
64	17023.98751
65	16946.50482
66	16892.14113
67	16810.92189
68	16764.46298
69	16696.48424
70	16609.9639
71	16507.49216
72	16413.89297
73	16357.08599
74	16275.86671
75	16223.77698
76	16129.23711
77	16061.21206
78	16007.15308
79	15914.31483
80	15852.05343
81	15798.484
82	15731.11021
83	15677.61551
84	15630.75556
85	15539.39442
86	15466.42789
87	15408.08565
88	15339.00451
89	15256.39687
90	15163.05217
91	15112.0742
92	15056.62013
93	14988.38604
94	14931.14481
95	14886.45713
96	14835.62414
97	14781.63666
98	14713.2765
99	14644.82332
