iter	Passed	Remaining
0	2	295
1	4	244
2	6	222
3	8	215
4	10	206
5	12	202
6	14	197
7	16	193
8	18	189
9	20	186
10	22	182
11	24	180
12	26	176
13	28	173
14	30	171
15	32	170
16	34	167
17	36	165
18	38	162
19	40	160
20	42	158
21	44	156
22	46	154
23	48	152
24	50	150
25	51	147
26	53	145
27	55	143
28	57	141
29	59	139
30	61	137
31	63	135
32	65	133
33	67	131
34	69	129
35	71	127
36	73	125
37	75	123
38	77	121
39	79	119
40	81	117
41	83	115
42	85	113
43	87	111
44	89	109
45	91	106
46	92	104
47	94	102
48	96	100
49	98	98
50	100	96
51	102	94
52	104	92
53	106	90
54	108	88
55	110	86
56	112	84
57	113	82
58	115	80
59	117	78
60	119	76
61	121	74
62	123	72
63	125	70
64	127	68
65	129	66
66	131	64
67	133	62
68	135	60
69	137	58
70	139	56
71	141	54
72	142	52
73	144	50
74	146	48
75	148	46
76	150	44
77	152	42
78	153	40
79	155	38
80	157	36
81	159	35
82	161	33
83	163	31
84	165	29
85	166	27
86	168	25
87	171	23
88	172	21
89	174	19
90	176	17
91	178	15
92	180	13
93	182	11
94	184	9
95	185	7
96	187	5
97	189	3
98	191	1
99	193	0
