iter	RMSE
0	74871.26039
1	70246.0516
2	66079.50372
3	62281.77547
4	58535.35772
5	55240.48415
6	52356.58646
7	49629.25673
8	47112.71868
9	44649.22541
10	42400.86008
11	40417.76643
12	38716.16607
13	37023.24552
14	35503.336
15	34031.81021
16	32811.30476
17	31675.44728
18	30655.59819
19	29710.94523
20	28860.76026
21	28039.79011
22	27336.79555
23	26716.89296
24	26115.87182
25	25532.3061
26	24985.55307
27	24399.4139
28	23940.10979
29	23523.35024
30	23122.04585
31	22747.87637
32	22405.32551
33	22105.87905
34	21827.39765
35	21528.45473
36	21237.99752
37	20997.66445
38	20726.66195
39	20458.16315
40	20232.35442
41	20066.31434
42	19893.39426
43	19704.34613
44	19572.2367
45	19385.87045
46	19217.01285
47	19031.50936
48	18883.55277
49	18743.23753
50	18609.74278
51	18468.17413
52	18352.39603
53	18197.93109
54	18042.29716
55	17930.16696
56	17831.28527
57	17708.06118
58	17549.09046
59	17421.69236
60	17330.96206
61	17210.14315
62	17105.96711
63	17025.72408
64	16967.58415
65	16892.81671
66	16823.61984
67	16749.44264
68	16682.83044
69	16641.08325
70	16561.23179
71	16467.68879
72	16374.4734
73	16305.74658
74	16248.19777
75	16167.32325
76	16062.7718
77	16015.47191
78	15950.88064
79	15880.32782
80	15786.60709
81	15706.29813
82	15625.30404
83	15582.29418
84	15513.87202
85	15432.87069
86	15403.60248
87	15324.91876
88	15276.37027
89	15213.01167
90	15173.51541
91	15095.69908
92	15042.4152
93	14971.27445
94	14950.81933
95	14897.30276
96	14843.46093
97	14748.44884
98	14687.97376
99	14609.22156
