iter	Passed	Remaining
0	17	1767
1	20	986
2	22	715
3	23	573
4	25	489
5	27	432
6	29	391
7	31	360
8	33	335
9	35	315
10	36	297
11	38	283
12	40	270
13	42	259
14	44	249
15	45	240
16	47	232
17	49	225
18	51	218
19	53	212
20	54	206
21	56	201
22	58	195
23	60	191
24	62	186
25	63	182
26	65	177
27	67	173
28	69	169
29	71	166
30	72	162
31	74	158
32	76	155
33	78	152
34	80	148
35	81	145
36	83	142
37	85	139
38	87	136
39	89	133
40	90	130
41	92	127
42	94	125
43	96	122
44	98	119
45	99	117
46	101	114
47	103	112
48	105	109
49	106	106
50	108	104
51	110	101
52	112	99
53	114	97
54	115	94
55	117	92
56	119	90
57	121	87
58	123	85
59	124	83
60	126	80
61	128	78
62	130	76
63	132	74
64	133	72
65	135	69
66	137	67
67	139	65
68	140	63
69	142	61
70	144	59
71	147	57
72	148	55
73	150	52
74	152	50
75	154	48
76	156	46
77	158	44
78	159	42
79	161	40
80	163	38
81	165	36
82	167	34
83	169	32
84	171	30
85	173	28
86	174	26
87	176	24
88	178	22
89	180	20
90	182	18
91	184	16
92	185	13
93	187	11
94	189	9
95	191	7
96	193	5
97	195	3
98	196	1
99	198	0
